10	1	8029

1000	1	1444714

100000	1	13887135

10000000	1	300455111

10	2	7986

1000	2	375875

100000	2	10219202

10000000	2	305551742

10	4	11279

1000	4	430003

100000	4	15694639

10000000	4	185368593

10	8	12045

1000	8	333200

100000	8	15264548

10000000	8	184021350

10	16	12449

1000	16	473602

100000	16	14449960

10000000	16	186459152

10	32	12485

1000	32	375693

100000	32	13902777

10000000	32	194957857

10	64	12809

1000	64	443470

100000	64	17733618

10000000	64	219014918

10	128	13065

1000	128	488268

100000	128	14476183

10000000	128	227600823

